TABLE obj
obj.id,obj.snaim,obj.naim,obj.address,obj.ready
1,NZiF,Отдельный счётчик,Корпус 35,True
2,Moxy,Счётчики на стене,Стена у Южука,True


TABLE bus
bus.id,bus.obj_id,bus.snaim,bus.naim,bus.host,bus.port,bus.timeout,bus.ready
1,1,qwork,Pack1,94.240.112.77,65000,10,True
2,1,qrept,Pack2,94.240.112.77,65001,10,True
3,2,AllMoxy,NoPackAll,213.177.97.70,4001,10,True
4,2,PwrMoxy,NoPackPwr,213.177.97.70,4001,10,True


TABLE krp
krp.id,krp.obj_id,krp.snaim,krp.naim,krp.lim
1,1,Korp26,Корпус № 26,580.00
2,1,Korp33,Корпус № 33,20.00
3,1,Korp14,Корпус № 14,25.00
4,1,Korp24,Корпус № 24,8.00
5,1,Korp16,Корпус № 16,315.00
6,1,Korp01,Корпус № 01,75.00
7,1,Korp02,Корпус № 02,25.00
8,1,Korp03,Корпус № 03,50.00
9,1,Korp04,Корпус № 04,285.00
10,1,Korp35,Корпус № 35,30.00
11,1,Korp29,Корпус № 29,10.00
12,1,Other,"Прочие, не вошедшие в корпуса",30.00


TABLE pdr
pdr.id,pdr.obj_id,pdr.snaim,pdr.naim,pdr.lim
1,1,Cex02,Цех радиоизмерительной аппаратуры № 2,35.00
2,1,Cex07,Намоточный цех № 7,40.00
3,1,Cex15,Цех изделий производственно-технического назначения №15,40.00
4,1,ElKo,'ООО "Электронные компоненты-НН"',140.00
5,1,ETP,'ООО "ЭнергоТехПласт"',250.00
6,1,Micronic,'ООО "Микроник"',75.00
7,1,NNIIRT,Нижегородский научно-исследовательский институт радиотехники,100.00
8,1,InstrPlus,'ООО "Инструмент+"',75.00
9,1,OkiK,Отдел комплектации и кооперации,30.00
10,1,LTI,Лаборатория технических измерений,7.00
11,1,Cex27,Цех микроэлектроники № 27,20.00
12,1,OGT,Отдел главного технолога,5.00
13,1,OTD,Отдел технической документации,15.00
14,1,EMO,Энергомеханический отдел,150.00
15,1,Kotelnaya,Котельная,495.00
16,1,OchistSoor,Очистные сооружения,20.00
17,1,Remstroi,'ООО "РемСтрой-НН"',25.00
18,1,Vodooborot,Водооборот,45.00
19,1,Kompr,Компрессоры,120.00
20,1,Cex06,Механический цех № 6,140.00
21,1,Cex12,Цех покрытий №12,130.00
22,1,Mitino,'Промплощадка "Митино"',10.00
23,1,Komplex,'ООО "СТК-Комплекс"',45.00
24,1,Bayazet,'ООО "Баязет"',10.00
25,1,Ignatiev,'ИП "Игнатьев"',50.00
26,1,VVIK,Волго-Вятская инвестиционная корпорация,15.00
27,1,Other,Не вошедшие в подразделения,30.00


TABLE lgh
lgh.id,lgh.obj_id,lgh.snaim,lgh.naim,lgh.lim
1,1,Sila,На силовое оборудование,10.00
2,1,Svet,На освещение,5.00
3,1,Sila+Svet,На силовое оборудование и освещение,1.00


TABLE sht
sht.id,sht.bus_id,sht.krp_id,sht.pdr_id,sht.lgh_id,sht.addr,sht.ready
1,1,3,8,1,09,True
2,2,7,6,2,09,True
3,1,5,10,1,01,True
4,1,7,18,2,02,True
5,2,10,7,1,03,True
6,3,9,9,1,04,True
7,3,7,25,1,05,True
8,3,10,24,2,06,True
9,3,6,18,1,07,True
10,3,11,12,1,08,True
11,3,3,27,1,09,True
12,3,7,26,1,0a,True
13,3,6,8,1,0b,True
14,3,11,16,3,0c,True
15,3,1,22,1,0d,True
16,3,7,19,1,0e,True
17,3,3,15,3,0f,True
18,1,3,16,1,10,True
19,4,7,24,1,01,False
20,2,6,24,2,02,True
21,4,8,16,1,03,True
22,4,2,17,1,04,True
23,4,5,1,1,05,True
24,4,5,19,1,06,True
25,4,10,8,2,07,True
26,4,4,15,1,09,False
27,4,2,19,1,0b,False
28,4,8,8,1,0f,True
29,4,11,13,3,10,True


END
